section_id	target_path	section_title	section_thesis	supporting_claim_ids	bridge_claim_ids	rejected_or_narrowed_claim_ids	large_unit_risk	counterexample_check	missing_context_check	final_disposition	repair_action
DBI-STORAGE-01-S03	02-storage-pages-buffer-io.md	깊은 메커니즘	source claim을 내부 상태 변화와 실패 모드로 재구성한다.	DBI-STORAGE-01-C01;DBI-STORAGE-01-C02	DBI-STORAGE-01-C03		page, buffer pool, fsync, checkpoint를 단순 저장소 캐시로만 합쳐 commit durability와 dirty page flush 시점을 혼동하는 위험	commit 직후 data page가 아직 flush되지 않은 crash 상황을 설명하지 못하면 실패다.	page 단위, dirty page, durable log, checkpoint의 소비자를 분리해야 한다.	APPLY	DBI-STORAGE-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-STORAGE-01-S04	02-storage-pages-buffer-io.md	DBMS별 경계	공통 목적과 제품별 구현 차이를 섞지 않는다.	DBI-STORAGE-01-C01;DBI-STORAGE-01-C02	DBI-STORAGE-01-C03		page, buffer pool, fsync, checkpoint를 단순 저장소 캐시로만 합쳐 commit durability와 dirty page flush 시점을 혼동하는 위험	commit 직후 data page가 아직 flush되지 않은 crash 상황을 설명하지 못하면 실패다.	page 단위, dirty page, durable log, checkpoint의 소비자를 분리해야 한다.	APPLY	DBI-STORAGE-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-STORAGE-01-S05	02-storage-pages-buffer-io.md	직접 재생해 보기	검증 가능한 관측 경로와 PASS/FAIL 신호를 남긴다.	DBI-STORAGE-01-C01;DBI-STORAGE-01-C02	DBI-STORAGE-01-C03		page, buffer pool, fsync, checkpoint를 단순 저장소 캐시로만 합쳐 commit durability와 dirty page flush 시점을 혼동하는 위험	commit 직후 data page가 아직 flush되지 않은 crash 상황을 설명하지 못하면 실패다.	page 단위, dirty page, durable log, checkpoint의 소비자를 분리해야 한다.	APPLY	DBI-STORAGE-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-STORAGE-01-S06	02-storage-pages-buffer-io.md	면접 꼬리 질문	짧은 답변 뒤 깊게 내려갈 질문을 준비한다.	DBI-STORAGE-01-C01;DBI-STORAGE-01-C02	DBI-STORAGE-01-C03		page, buffer pool, fsync, checkpoint를 단순 저장소 캐시로만 합쳐 commit durability와 dirty page flush 시점을 혼동하는 위험	commit 직후 data page가 아직 flush되지 않은 crash 상황을 설명하지 못하면 실패다.	page 단위, dirty page, durable log, checkpoint의 소비자를 분리해야 한다.	APPLY	DBI-STORAGE-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-STORAGE-01-S07	02-storage-pages-buffer-io.md	함정 질문	부분적으로 맞지만 전체 설명을 망치는 shortcut을 막는다.	DBI-STORAGE-01-C01;DBI-STORAGE-01-C02	DBI-STORAGE-01-C03		page, buffer pool, fsync, checkpoint를 단순 저장소 캐시로만 합쳐 commit durability와 dirty page flush 시점을 혼동하는 위험	commit 직후 data page가 아직 flush되지 않은 crash 상황을 설명하지 못하면 실패다.	page 단위, dirty page, durable log, checkpoint의 소비자를 분리해야 한다.	APPLY	DBI-STORAGE-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-STORAGE-01-S08	02-storage-pages-buffer-io.md	더 깊게 볼 자료	공식 source와 repo source를 분리해 추적 가능하게 한다.	DBI-STORAGE-01-C01;DBI-STORAGE-01-C02	DBI-STORAGE-01-C03		page, buffer pool, fsync, checkpoint를 단순 저장소 캐시로만 합쳐 commit durability와 dirty page flush 시점을 혼동하는 위험	commit 직후 data page가 아직 flush되지 않은 crash 상황을 설명하지 못하면 실패다.	page 단위, dirty page, durable log, checkpoint의 소비자를 분리해야 한다.	APPLY	DBI-STORAGE-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-LOG-01-S01	03-wal-redo-undo-crash-recovery-pitr.md	2-5분 개요	면접 첫 답변이 본문의 실제 논증을 압축한다.	DBI-LOG-01-C01;DBI-LOG-01-C02	DBI-LOG-01-C03		WAL, redo, undo, binary log, PITR을 모두 로그라는 이름으로 묶어 crash recovery와 시간 복구의 소비자를 혼동하는 위험	InnoDB redo로 MySQL PITR을 설명하거나 PostgreSQL WAL을 replication 전용으로 말하면 실패다.	로그별 writer, reader, replay 목적, 보존 기간을 분리해야 한다.	APPLY	DBI-LOG-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-LOG-01-S02	03-wal-redo-undo-crash-recovery-pitr.md	먼저 잡아야 할 작은 모델	추상 개념을 대표 상태 변화 trace로 고정한다.	DBI-LOG-01-C01;DBI-LOG-01-C02	DBI-LOG-01-C03		WAL, redo, undo, binary log, PITR을 모두 로그라는 이름으로 묶어 crash recovery와 시간 복구의 소비자를 혼동하는 위험	InnoDB redo로 MySQL PITR을 설명하거나 PostgreSQL WAL을 replication 전용으로 말하면 실패다.	로그별 writer, reader, replay 목적, 보존 기간을 분리해야 한다.	APPLY	DBI-LOG-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-LOG-01-S03	03-wal-redo-undo-crash-recovery-pitr.md	깊은 메커니즘	source claim을 내부 상태 변화와 실패 모드로 재구성한다.	DBI-LOG-01-C01;DBI-LOG-01-C02	DBI-LOG-01-C03		WAL, redo, undo, binary log, PITR을 모두 로그라는 이름으로 묶어 crash recovery와 시간 복구의 소비자를 혼동하는 위험	InnoDB redo로 MySQL PITR을 설명하거나 PostgreSQL WAL을 replication 전용으로 말하면 실패다.	로그별 writer, reader, replay 목적, 보존 기간을 분리해야 한다.	APPLY	DBI-LOG-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-LOG-01-S04	03-wal-redo-undo-crash-recovery-pitr.md	DBMS별 경계	공통 목적과 제품별 구현 차이를 섞지 않는다.	DBI-LOG-01-C01;DBI-LOG-01-C02	DBI-LOG-01-C03		WAL, redo, undo, binary log, PITR을 모두 로그라는 이름으로 묶어 crash recovery와 시간 복구의 소비자를 혼동하는 위험	InnoDB redo로 MySQL PITR을 설명하거나 PostgreSQL WAL을 replication 전용으로 말하면 실패다.	로그별 writer, reader, replay 목적, 보존 기간을 분리해야 한다.	APPLY	DBI-LOG-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-LOG-01-S05	03-wal-redo-undo-crash-recovery-pitr.md	직접 재생해 보기	검증 가능한 관측 경로와 PASS/FAIL 신호를 남긴다.	DBI-LOG-01-C01;DBI-LOG-01-C02	DBI-LOG-01-C03		WAL, redo, undo, binary log, PITR을 모두 로그라는 이름으로 묶어 crash recovery와 시간 복구의 소비자를 혼동하는 위험	InnoDB redo로 MySQL PITR을 설명하거나 PostgreSQL WAL을 replication 전용으로 말하면 실패다.	로그별 writer, reader, replay 목적, 보존 기간을 분리해야 한다.	APPLY	DBI-LOG-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-LOG-01-S06	03-wal-redo-undo-crash-recovery-pitr.md	면접 꼬리 질문	짧은 답변 뒤 깊게 내려갈 질문을 준비한다.	DBI-LOG-01-C01;DBI-LOG-01-C02	DBI-LOG-01-C03		WAL, redo, undo, binary log, PITR을 모두 로그라는 이름으로 묶어 crash recovery와 시간 복구의 소비자를 혼동하는 위험	InnoDB redo로 MySQL PITR을 설명하거나 PostgreSQL WAL을 replication 전용으로 말하면 실패다.	로그별 writer, reader, replay 목적, 보존 기간을 분리해야 한다.	APPLY	DBI-LOG-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-LOG-01-S07	03-wal-redo-undo-crash-recovery-pitr.md	함정 질문	부분적으로 맞지만 전체 설명을 망치는 shortcut을 막는다.	DBI-LOG-01-C01;DBI-LOG-01-C02	DBI-LOG-01-C03		WAL, redo, undo, binary log, PITR을 모두 로그라는 이름으로 묶어 crash recovery와 시간 복구의 소비자를 혼동하는 위험	InnoDB redo로 MySQL PITR을 설명하거나 PostgreSQL WAL을 replication 전용으로 말하면 실패다.	로그별 writer, reader, replay 목적, 보존 기간을 분리해야 한다.	APPLY	DBI-LOG-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-LOG-01-S08	03-wal-redo-undo-crash-recovery-pitr.md	더 깊게 볼 자료	공식 source와 repo source를 분리해 추적 가능하게 한다.	DBI-LOG-01-C01;DBI-LOG-01-C02	DBI-LOG-01-C03		WAL, redo, undo, binary log, PITR을 모두 로그라는 이름으로 묶어 crash recovery와 시간 복구의 소비자를 혼동하는 위험	InnoDB redo로 MySQL PITR을 설명하거나 PostgreSQL WAL을 replication 전용으로 말하면 실패다.	로그별 writer, reader, replay 목적, 보존 기간을 분리해야 한다.	APPLY	DBI-LOG-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-INDEX-01-S01	04-index-query-optimizer.md	2-5분 개요	면접 첫 답변이 본문의 실제 논증을 압축한다.	DBI-INDEX-01-C01;DBI-INDEX-01-C02	DBI-INDEX-01-C03		B+tree 구조 하나로 query 성능 전체를 설명해 filter, join, sort, statistics, row fetch 비용을 지우는 위험	EXPLAIN에서 index scan이 보여도 읽은 row와 filter row가 많으면 빠르지 않을 수 있다.	access path, cardinality estimate, join order, sort/order 소비를 함께 봐야 한다.	APPLY	DBI-INDEX-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-INDEX-01-S02	04-index-query-optimizer.md	먼저 잡아야 할 작은 모델	추상 개념을 대표 상태 변화 trace로 고정한다.	DBI-INDEX-01-C01;DBI-INDEX-01-C02	DBI-INDEX-01-C03		B+tree 구조 하나로 query 성능 전체를 설명해 filter, join, sort, statistics, row fetch 비용을 지우는 위험	EXPLAIN에서 index scan이 보여도 읽은 row와 filter row가 많으면 빠르지 않을 수 있다.	access path, cardinality estimate, join order, sort/order 소비를 함께 봐야 한다.	APPLY	DBI-INDEX-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-INDEX-01-S03	04-index-query-optimizer.md	깊은 메커니즘	source claim을 내부 상태 변화와 실패 모드로 재구성한다.	DBI-INDEX-01-C01;DBI-INDEX-01-C02	DBI-INDEX-01-C03		B+tree 구조 하나로 query 성능 전체를 설명해 filter, join, sort, statistics, row fetch 비용을 지우는 위험	EXPLAIN에서 index scan이 보여도 읽은 row와 filter row가 많으면 빠르지 않을 수 있다.	access path, cardinality estimate, join order, sort/order 소비를 함께 봐야 한다.	APPLY	DBI-INDEX-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-INDEX-01-S04	04-index-query-optimizer.md	DBMS별 경계	공통 목적과 제품별 구현 차이를 섞지 않는다.	DBI-INDEX-01-C01;DBI-INDEX-01-C02	DBI-INDEX-01-C03		B+tree 구조 하나로 query 성능 전체를 설명해 filter, join, sort, statistics, row fetch 비용을 지우는 위험	EXPLAIN에서 index scan이 보여도 읽은 row와 filter row가 많으면 빠르지 않을 수 있다.	access path, cardinality estimate, join order, sort/order 소비를 함께 봐야 한다.	APPLY	DBI-INDEX-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-INDEX-01-S05	04-index-query-optimizer.md	직접 재생해 보기	검증 가능한 관측 경로와 PASS/FAIL 신호를 남긴다.	DBI-INDEX-01-C01;DBI-INDEX-01-C02	DBI-INDEX-01-C03		B+tree 구조 하나로 query 성능 전체를 설명해 filter, join, sort, statistics, row fetch 비용을 지우는 위험	EXPLAIN에서 index scan이 보여도 읽은 row와 filter row가 많으면 빠르지 않을 수 있다.	access path, cardinality estimate, join order, sort/order 소비를 함께 봐야 한다.	APPLY	DBI-INDEX-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-INDEX-01-S06	04-index-query-optimizer.md	면접 꼬리 질문	짧은 답변 뒤 깊게 내려갈 질문을 준비한다.	DBI-INDEX-01-C01;DBI-INDEX-01-C02	DBI-INDEX-01-C03		B+tree 구조 하나로 query 성능 전체를 설명해 filter, join, sort, statistics, row fetch 비용을 지우는 위험	EXPLAIN에서 index scan이 보여도 읽은 row와 filter row가 많으면 빠르지 않을 수 있다.	access path, cardinality estimate, join order, sort/order 소비를 함께 봐야 한다.	APPLY	DBI-INDEX-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-INDEX-01-S07	04-index-query-optimizer.md	함정 질문	부분적으로 맞지만 전체 설명을 망치는 shortcut을 막는다.	DBI-INDEX-01-C01;DBI-INDEX-01-C02	DBI-INDEX-01-C03		B+tree 구조 하나로 query 성능 전체를 설명해 filter, join, sort, statistics, row fetch 비용을 지우는 위험	EXPLAIN에서 index scan이 보여도 읽은 row와 filter row가 많으면 빠르지 않을 수 있다.	access path, cardinality estimate, join order, sort/order 소비를 함께 봐야 한다.	APPLY	DBI-INDEX-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-INDEX-01-S08	04-index-query-optimizer.md	더 깊게 볼 자료	공식 source와 repo source를 분리해 추적 가능하게 한다.	DBI-INDEX-01-C01;DBI-INDEX-01-C02	DBI-INDEX-01-C03		B+tree 구조 하나로 query 성능 전체를 설명해 filter, join, sort, statistics, row fetch 비용을 지우는 위험	EXPLAIN에서 index scan이 보여도 읽은 row와 filter row가 많으면 빠르지 않을 수 있다.	access path, cardinality estimate, join order, sort/order 소비를 함께 봐야 한다.	APPLY	DBI-INDEX-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-SCHEMA-01-S01	05-schema-constraints-migration.md	2-5분 개요	면접 첫 답변이 본문의 실제 논증을 압축한다.	DBI-SCHEMA-01-C01;DBI-SCHEMA-01-C02	DBI-SCHEMA-01-C03		정규화나 migration file 존재를 안전한 schema 변경으로 착각해 배포 시간축과 운영 lock을 누락하는 위험	최종 schema diff가 같아도 old/new application 공존 구간에서 장애가 나면 실패다.	constraint, backfill, expand/contract, online DDL 영향과 rollback/roll-forward를 함께 봐야 한다.	APPLY	DBI-SCHEMA-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-SCHEMA-01-S02	05-schema-constraints-migration.md	먼저 잡아야 할 작은 모델	추상 개념을 대표 상태 변화 trace로 고정한다.	DBI-SCHEMA-01-C01;DBI-SCHEMA-01-C02	DBI-SCHEMA-01-C03		정규화나 migration file 존재를 안전한 schema 변경으로 착각해 배포 시간축과 운영 lock을 누락하는 위험	최종 schema diff가 같아도 old/new application 공존 구간에서 장애가 나면 실패다.	constraint, backfill, expand/contract, online DDL 영향과 rollback/roll-forward를 함께 봐야 한다.	APPLY	DBI-SCHEMA-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-SCHEMA-01-S03	05-schema-constraints-migration.md	깊은 메커니즘	source claim을 내부 상태 변화와 실패 모드로 재구성한다.	DBI-SCHEMA-01-C01;DBI-SCHEMA-01-C02	DBI-SCHEMA-01-C03		정규화나 migration file 존재를 안전한 schema 변경으로 착각해 배포 시간축과 운영 lock을 누락하는 위험	최종 schema diff가 같아도 old/new application 공존 구간에서 장애가 나면 실패다.	constraint, backfill, expand/contract, online DDL 영향과 rollback/roll-forward를 함께 봐야 한다.	APPLY	DBI-SCHEMA-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-SCHEMA-01-S04	05-schema-constraints-migration.md	DBMS별 경계	공통 목적과 제품별 구현 차이를 섞지 않는다.	DBI-SCHEMA-01-C01;DBI-SCHEMA-01-C02	DBI-SCHEMA-01-C03		정규화나 migration file 존재를 안전한 schema 변경으로 착각해 배포 시간축과 운영 lock을 누락하는 위험	최종 schema diff가 같아도 old/new application 공존 구간에서 장애가 나면 실패다.	constraint, backfill, expand/contract, online DDL 영향과 rollback/roll-forward를 함께 봐야 한다.	APPLY	DBI-SCHEMA-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-SCHEMA-01-S05	05-schema-constraints-migration.md	직접 재생해 보기	검증 가능한 관측 경로와 PASS/FAIL 신호를 남긴다.	DBI-SCHEMA-01-C01;DBI-SCHEMA-01-C02	DBI-SCHEMA-01-C03		정규화나 migration file 존재를 안전한 schema 변경으로 착각해 배포 시간축과 운영 lock을 누락하는 위험	최종 schema diff가 같아도 old/new application 공존 구간에서 장애가 나면 실패다.	constraint, backfill, expand/contract, online DDL 영향과 rollback/roll-forward를 함께 봐야 한다.	APPLY	DBI-SCHEMA-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-SCHEMA-01-S06	05-schema-constraints-migration.md	면접 꼬리 질문	짧은 답변 뒤 깊게 내려갈 질문을 준비한다.	DBI-SCHEMA-01-C01;DBI-SCHEMA-01-C02	DBI-SCHEMA-01-C03		정규화나 migration file 존재를 안전한 schema 변경으로 착각해 배포 시간축과 운영 lock을 누락하는 위험	최종 schema diff가 같아도 old/new application 공존 구간에서 장애가 나면 실패다.	constraint, backfill, expand/contract, online DDL 영향과 rollback/roll-forward를 함께 봐야 한다.	APPLY	DBI-SCHEMA-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-SCHEMA-01-S07	05-schema-constraints-migration.md	함정 질문	부분적으로 맞지만 전체 설명을 망치는 shortcut을 막는다.	DBI-SCHEMA-01-C01;DBI-SCHEMA-01-C02	DBI-SCHEMA-01-C03		정규화나 migration file 존재를 안전한 schema 변경으로 착각해 배포 시간축과 운영 lock을 누락하는 위험	최종 schema diff가 같아도 old/new application 공존 구간에서 장애가 나면 실패다.	constraint, backfill, expand/contract, online DDL 영향과 rollback/roll-forward를 함께 봐야 한다.	APPLY	DBI-SCHEMA-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-SCHEMA-01-S08	05-schema-constraints-migration.md	더 깊게 볼 자료	공식 source와 repo source를 분리해 추적 가능하게 한다.	DBI-SCHEMA-01-C01;DBI-SCHEMA-01-C02	DBI-SCHEMA-01-C03		정규화나 migration file 존재를 안전한 schema 변경으로 착각해 배포 시간축과 운영 lock을 누락하는 위험	최종 schema diff가 같아도 old/new application 공존 구간에서 장애가 나면 실패다.	constraint, backfill, expand/contract, online DDL 영향과 rollback/roll-forward를 함께 봐야 한다.	APPLY	DBI-SCHEMA-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
